Fecha,Local,Visit,Local Score,Visit Score,Local i5,Visit i5,Local Hits,Visit Hits,Local pitcher,Local pitcher in,Local pitcher ERA,Local pitcher Hit ERA,Local pitcher K ERA,Local pitcher BB ERA,Visit pitcher,Visit pitcher in,Visit pitcher ERA,Visit pitcher Hit ERA,Visit pitcher K ERA,Visit pitcher BB ERA,Date,Local Win?,L bullpen recieved,V bullpen recieved
,Guardians,Royals,4.0,0.0,3.0,0.0,8.0,7.0,K. Pilkington ,5.0,0.0,5.0,8.0,2.0,B. Keller ,6.0,4.0,6.0,1.0,3.0,20220601,1.0,0.0,0.0
,Mets,Nationals,5.0,0.0,2.0,0.0,8.0,6.0,C. Carrasco ,5.0,0.0,4.0,5.0,5.0,E. Lee ,3.2,2.0,4.0,2.0,3.0,20220601,1.0,0.0,3.0
,Cardinals,Padres,5.0,2.0,1.0,1.0,8.0,6.0,D. Hudson ,7.0,1.0,4.0,3.0,1.0,Y. Darvish ,7.2,5.0,7.0,4.0,2.0,20220601,1.0,1.0,0.0
,Rockies,Marlins,1.0,14.0,0.0,5.0,3.0,21.0,A. Senzatela ,5.1,6.0,13.0,3.0,0.0,E. Cabrera ,6.0,0.0,1.0,9.0,4.0,20220601,0.0,8.0,1.0
,Athletics,Astros,4.0,5.0,0.0,1.0,4.0,11.0,C. Irvin,5.2,1.0,6.0,2.0,2.0,J. Verlander,7.0,3.0,2.0,6.0,2.0,20220601,0.0,4.0,1.0
,Diamondbacks,Braves,0.0,6.0,0.0,2.0,3.0,12.0,M. Bumgarner ,6.0,2.0,7.0,6.0,2.0,K. Wright ,6.0,0.0,3.0,5.0,5.0,20220601,0.0,4.0,0.0
,Phillies,Giants,6.0,5.0,2.0,0.0,10.0,5.0,A. Nola ,6.0,5.0,5.0,5.0,0.0,C. Rodon,5.0,2.0,6.0,6.0,1.0,20220601,1.0,0.0,4.0
,Rockies,Marlins,13.0,12.0,10.0,7.0,17.0,13.0,G. Marquez,5.0,7.0,7.0,5.0,3.0,T. Rogers,3.2,5.0,5.0,2.0,5.0,20220601,1.0,5.0,8.0
,Orioles,Mariners,9.0,2.0,4.0,2.0,10.0,8.0,K. Bradish,4.2,2.0,6.0,6.0,2.0,R. Ray ,5.0,4.0,6.0,6.0,3.0,20220601,1.0,0.0,5.0
,Blue,White,7.0,3.0,5.0,3.0,10.0,9.0,H. Ryu,4.0,3.0,5.0,4.0,0.0,M. Kopech ,3.0,5.0,6.0,4.0,4.0,20220601,1.0,0.0,2.0
,Red,Reds,7.0,1.0,4.0,0.0,8.0,7.0,G. Whitlock ,6.0,1.0,5.0,0.0,0.0,H. Greene ,3.2,4.0,6.0,8.0,0.0,20220601,1.0,0.0,3.0
,Tigers,Twins,5.0,0.0,5.0,0.0,9.0,2.0,T. Skubal ,7.0,0.0,2.0,6.0,1.0,B. Ober ,6.0,5.0,9.0,4.0,0.0,20220601,1.0,0.0,0.0
,Cubs,Brewers,4.0,3.0,3.0,3.0,7.0,8.0,K. Hendricks,5.0,3.0,6.0,1.0,1.0,J. Alexander,7.0,3.0,7.0,3.0,3.0,20220601,1.0,0.0,1.0
,Rangers,Rays,3.0,4.0,2.0,0.0,10.0,6.0,J. Gray,7.0,1.0,3.0,12.0,2.0,J. Springs,5.0,2.0,5.0,7.0,1.0,20220601,0.0,3.0,1.0
